"GEOID","pop_female","pop_male","pop_asian","pop_black","pop_hispanic","pop_native","pop_other","pop_white","pop_65_74","pop_75_84","pop_85_pl","pop25_w_bach","tot_pop25","pct_w_bach","median_hh_inc","hh_below_pl","tot_hh","pct_hh_below_pl"
"370370201031",333,345,21,44,8,0,6,599,392,252,34,986,1325,0.744150943396226,176607,79,711,0.111111111111111
"370370201032",236,254,21,26,24,1,8,410,314,161,15,447,826,0.541162227602906,115714,47,444,0.105855855855856
"370370201033",211,188,9,41,17,0,13,319,287,97,15,883,1312,0.673018292682927,117560,10,730,0.0136986301369863
"370370201041",678,463,11,6,13,2,14,1095,382,523,236,982,1251,0.784972022382094,111518,11,775,0.0141935483870968
"370370201042",344,225,3,6,3,0,7,550,281,213,75,795,925,0.859459459459459,80353,4,589,0.0067911714770798
"370370201043",376,329,10,28,12,0,2,653,383,240,82,836,1241,0.67365028203062,107564,37,646,0.0572755417956656
"370370201044",154,163,24,20,6,0,3,264,211,88,18,727,913,0.796276013143483,170733,8,477,0.0167714884696017
"370370201051",124,113,5,10,4,1,3,214,161,73,3,622,911,0.682766190998902,111685,42,575,0.0730434782608696
"370370201052",85,65,2,15,2,0,5,126,111,28,11,298,431,0.691415313225058,NA,24,287,0.0836236933797909
"370370201053",541,469,38,24,13,5,16,914,708,262,40,2454,3136,0.782525510204082,123036,30,1656,0.0181159420289855
"370370201071",97,83,0,7,1,0,4,168,137,37,6,405,728,0.556318681318681,69050,53,444,0.119369369369369
"370370201072",83,88,2,15,6,0,3,145,116,40,15,311,584,0.532534246575342,108017,53,306,0.173202614379085
"370370201073",80,96,1,19,0,0,5,151,134,37,5,337,543,0.620626151012891,77500,13,332,0.0391566265060241
"370370201081",108,104,0,37,8,0,5,162,158,44,10,319,772,0.413212435233161,66667,100,434,0.230414746543779
"370370201082",80,71,0,17,4,0,4,126,122,26,3,198,449,0.44097995545657,122524,8,287,0.0278745644599303
"370370202021",193,198,4,13,5,2,7,360,278,102,11,729,1185,0.615189873417721,110250,57,679,0.0839469808541973
"370370202031",131,116,0,33,3,0,4,207,172,62,13,289,844,0.342417061611374,NA,65,463,0.140388768898488
"370370202032",147,150,0,77,5,0,1,214,194,79,24,466,1200,0.388333333333333,88047,121,551,0.219600725952813
"370370203001",135,129,0,62,2,0,4,196,133,89,42,275,1005,0.27363184079602,54545,82,488,0.168032786885246
"370370203003",128,103,1,21,8,0,1,200,149,57,25,82,537,0.152700186219739,43194,10,294,0.0340136054421769
"370370204011",151,100,1,39,32,0,4,175,148,69,34,155,1111,0.13951395139514,62457,115,621,0.185185185185185
