"area","var","pct","subgroup_type","var_label","pct_round","GEOID"
"All Research Triangle","pct_male",0.434571494489503,"Sex","Male",43.5,"All Research Triangle"
"All Research Triangle","pct_female",0.565428505510498,"Sex","Female",56.5,"All Research Triangle"
"All Research Triangle","pct_asian",0.0338119154524642,"Race","Asian",3.4,"All Research Triangle"
"All Research Triangle","pct_black",0.18576321720766,"Race","Black",18.6,"All Research Triangle"
"All Research Triangle","pct_hispanic",0.0339396951035548,"Race","Hisp.",3.4,"All Research Triangle"
"All Research Triangle","pct_native",0.00256269189131631,"Race","Native American",0.3,"All Research Triangle"
"All Research Triangle","pct_other",0.0184996539301116,"Race","Other",1.8,"All Research Triangle"
"All Research Triangle","pct_white",0.725422826414893,"Race","White",72.5,"All Research Triangle"
"All Research Triangle","pct_65_74",0.617935293804462,"Age","65-74",61.8,"All Research Triangle"
"All Research Triangle","pct_75_84",0.283067421513124,"Age","75-64",28.3,"All Research Triangle"
"All Research Triangle","pct_85_pl",0.0989972846824143,"Age","85+",9.9,"All Research Triangle"
"All Research Triangle","pct_below_pl",0.0977001157735847,"Poverty + Education","HHs Below PL",9.8,"All Research Triangle"
"All Research Triangle","pct_w_bach",0.477456840659465,"Poverty + Education","Bachelor's +",47.7,"All Research Triangle"
